0.0,0.0,0.960544692876,0.2943344859036,1.270418,279.45,9.209947409062199e-07,0.016384187786000003,0.0,0.0
1.0,0.0,0.857667437832,0.2628103440602,1.1343524,276.78,8.2235337877767e-07,0.01462939154675,0.0,0.0
2.0,0.0,0.769964493942,0.235936027631,1.0183564,272.22,7.3826162005551e-07,0.0131334265173,0.0,0.0
3.0,0.0,0.6931016395919999,0.21238336195819998,0.91669744,266.37,6.645635290152719e-07,0.011822363003500001,0.0,0.0
4.0,0.0,0.624070044024,0.1912303924408,0.82539618,259.81,5.983742554869219e-07,0.01064487761585,0.0,0.0
5.0,0.0,0.560866502604,0.1718632672902,0.74180305,253.03,5.377731138399539e-07,0.009566803185899999,0.0,0.0
6.0,0.0,0.5022385647,0.1538982368182,0.66426164,246.46,4.815591322058069e-07,0.008566775863550001,0.0,0.0
7.0,0.0,0.44748289210739994,0.13711974701360002,0.5918417,240.42,4.2905801219987695e-07,0.0076327983007,0.0,0.0
8.0,0.0,0.39627468684659994,0.1214282938346,0.5241136,235.18,3.7995827332403595e-07,0.0067593308615,0.0,0.0
9.0,0.0,0.3485292349878,0.1067979160088,0.46096539,230.98,3.34178715568775e-07,0.0059449273102800005,0.0,0.0
10.0,0.0,0.3042880166316,0.0932413178756,0.40245187,228.01,2.9175910480598493e-07,0.005190296569185,0.0,0.0
11.0,0.0,0.2637516685638,0.0808199860998,0.34883845,226.39,2.52891829958908e-07,0.004498860860865,0.0,0.0
12.0,0.0,0.2274095508408,0.0696838701428,0.30077225,225.82,2.1804608577840497e-07,0.00387896685303,0.0,0.0
13.0,0.0,0.1954516615818,0.0598911889284,0.25850469,225.95,1.8740403225961498e-07,0.003333854944095,0.0,0.0
14.0,0.0,0.1677589286622,0.051405453744780005,0.22187825,226.44,1.6085154274597098e-07,0.0028614949513850003,0.0,0.0
15.0,0.0,0.14402804541839997,0.0441337300379,0.19049175,226.97,1.38097760757476e-07,0.00245671301024,0.0,0.0
16.0,0.0,0.1238220031512,0.03794209993684,0.1637672,227.27,1.1872369903052699e-07,0.00211205479137,0.0,0.0
17.0,0.0,0.10656883513979999,0.0326553089127,0.14094813,227.36,1.0218091686899199e-07,0.0018177643399899998,0.0,0.0
18.0,0.0,0.09177408760679999,0.02812183473768,0.12138058,227.32,8.799533436141499e-08,0.00156540769153,0.0,0.0
19.0,0.0,0.0790439810304,0.0242210170052,0.1045437,227.25,7.5789385088857e-08,0.001348267830225,0.0,0.0
20.0,0.0,0.0680621511444,0.0208559132636,0.090019129,227.25,6.52597298228673e-08,0.0011609486691649999,0.0,0.0
21.0,0.0,0.058574544543600005,0.017948679546180003,0.077470802,227.39,5.6162769199566594e-08,0.00099911680814,0.0,0.0
22.0,0.0,0.0503814408468,0.015438110267,0.06663458,227.7,4.83070115701079e-08,0.00085936554689,0.0,0.0
23.0,0.0,0.04331226878196,0.013271942292320002,0.05728488,228.19,4.1528909733542995e-08,0.0007387853659799999,0.0,0.0
24.0,0.0,0.0372180563148,0.01140452607738,0.049224667,228.9,3.5685621594074096e-08,0.000634835250167,0.0,0.0
25.0,0.0,0.03196871911458,0.00979600049538,0.042281888,229.82,3.06524226875577e-08,0.000545296320235,0.0,0.0
26.0,0.0,0.0274508160606,0.00841160422084,0.036306504,230.99,2.6320542088593397e-08,0.000468233637302,0.0,0.0
27.0,0.0,0.02356540615794,0.0072210195247,0.031167647,232.43,2.2595113301664796e-08,0.0004019594996645,0.0,0.0
28.0,0.0,0.02022635760816,0.0061978526238,0.026751416,234.16,1.9393547868217598e-08,0.00034500471310899996,0.0,0.0
29.0,0.0,0.0173587313088,0.0053191416600399995,0.02295869,236.22,1.6643995377938698e-08,0.0002960910817875,0.0,0.0
30.0,0.0,0.01489743462246,0.00456493959848,0.019703371,238.63,1.4284040094616499e-08,0.0002541082838365,0.0,0.0
31.0,0.0,0.012785970042599999,0.003917935275652,0.016910747,241.43,1.2259514559996398e-08,0.000218092644177,0.0,0.0
32.0,0.0,0.010975381560839999,0.003363126253522,0.01451606,244.67,1.05234760363228e-08,0.00018720911129500002,0.0,0.0
33.0,0.0,0.00942578929578,0.002888293252976,0.012466565,248.32,9.037687341414699e-09,0.000160777426399,0.0,0.0
34.0,0.0,0.00811224564402,0.0024857911946919997,0.010729269,252.02,7.7782284691968e-09,0.0001383720703645,0.0,0.0
35.0,0.0,0.00699863263482,0.00214455279781,0.0092564039,255.67,6.710467286612899e-09,0.00011937697014600001,0.0,0.0
36.0,0.0,0.00605254582938,0.00185464864608,0.0080051078,259.23,5.80333543510943e-09,0.0001032393959895,0.0,0.0
37.0,0.0,0.00524708340312,0.001607835265072,0.0069398023,262.69,5.031037405731229e-09,8.950047553250001e-05,0.0,0.0
38.0,0.0,0.004559863173822,0.001397254011798,0.0060308827,265.99,4.372112920611159e-09,7.7778424316e-05,0.0,0.0
39.0,0.0,0.0039722477047859995,0.00121719420334,0.0052537015,269.11,3.80869239461656e-09,6.775536502e-05,0.0,0.0
40.0,0.0,0.0034686743991119997,0.0010628869569300002,0.0045876745,272.01,3.3258535563756496e-09,5.916581900435e-05,0.0,0.0
41.0,0.0,0.003036141568836,0.000930348338382,0.0040156059,274.64,2.9111300077681496e-09,5.178802703735e-05,0.0,0.0
42.0,0.0,0.00266377256127,0.00081624530501,0.0035231104,276.97,2.5540930940572098e-09,4.5436462064300006e-05,0.0,0.0
43.0,0.0,0.00234244342893,0.00071778215827,0.0030981197,278.95,2.2459945228211196e-09,3.99554902349e-05,0.0,0.0
